scene,view,tau,kmax,mass_capture,fraction_ge_90,fraction_reached_tau,K_max,K_p50,K_p75,K_p90,K_p95,K_p99,csr_event_bytes,csr_offset_bytes,csr_total_bytes,dense_equivalent_event_bytes,stored_events,total_accepted_events
lego,1,0.9,32,0.895702060058056,0.8365715025418942,0.8365715025418942,32.0,19.0,28.0,32.0,32.0,32.0,150507192,5120008,188907200,901120000,3420618,9647532
lego,1,0.9,64,0.9265938639305236,0.9827363020146865,0.9827363020146865,64.0,19.0,28.0,39.0,48.0,64.0,165749188,5120008,204149196,1802240000,3767027,9647532
lego,1,0.9,128,0.9294067477374448,0.9981171154208247,0.9981171154208247,128.0,19.0,28.0,39.0,48.0,75.0,168648832,5120008,207048840,3604480000,3832928,9647532
lego,1,0.95,32,0.9219156640877989,0.8365715025418942,0.7552250047072114,32.0,23.0,32.0,32.0,32.0,32.0,169751076,5120008,208151084,901120000,3857979,9647532
lego,1,0.95,64,0.9610683787043374,0.9827363020146865,0.971421342496705,64.0,23.0,32.0,44.0,55.0,64.0,193229960,5120008,231629968,1802240000,4391590,9647532
lego,1,0.95,128,0.9648420127664212,0.9981171154208247,0.9968108642440219,128.0,23.0,32.0,44.0,55.0,87.0,197953580,5120008,236353588,3604480000,4498945,9647532
chair,1,0.9,32,0.8751168400103071,0.6664748615406747,0.6664748615406747,32.0,27.0,32.0,32.0,32.0,32.0,154236236,5120008,192636244,901120000,3505369,9095896
chair,1,0.9,64,0.9203303909798198,0.9846148313313673,0.9846148313313673,64.0,27.0,36.0,44.0,51.0,64.0,175031516,5120008,213431524,1802240000,3977989,9095896
chair,1,0.9,128,0.922541236888136,1.0,1.0,126.0,27.0,36.0,44.0,51.0,71.0,176345532,5120008,214745540,3604480000,4007853,9095896
chair,1,0.95,32,0.895017750261534,0.6664748615406747,0.4900956628065885,32.0,32.0,32.0,32.0,32.0,32.0,170762416,5120008,209162424,901120000,3880964,9095896
chair,1,0.95,64,0.959261774844598,0.9846148313313673,0.9713371214845716,64.0,33.0,42.0,51.0,58.0,64.0,208084624,5120008,246484632,1802240000,4729196,9095896
chair,1,0.95,128,0.9625275676839412,1.0,0.9999928073077753,128.0,33.0,42.0,51.0,58.0,79.0,210450768,5120008,248850776,3604480000,4782972,9095896
drums,1,0.9,32,0.8720987589100859,0.7348360112795473,0.7348360112795473,32.0,25.0,32.0,32.0,32.0,32.0,173702408,5120008,212102416,901120000,3947782,9245610
drums,1,0.9,64,0.9232623685377407,0.9721859485102544,0.9721859485102544,64.0,25.0,33.0,45.0,55.0,64.0,196500084,5120008,234900092,1802240000,4465911,9245610
drums,1,0.9,128,0.9272631549845177,0.99885816663197,0.99885816663197,128.0,25.0,33.0,45.0,55.0,84.0,200255660,5120008,238655668,3604480000,4551265,9245610
drums,1,0.95,32,0.8956223822871212,0.7348360112795473,0.6359002504463244,32.0,28.0,32.0,32.0,32.0,32.0,187510356,5120008,225910364,901120000,4261599,9245610
drums,1,0.95,64,0.9592994309146889,0.9721859485102544,0.9555063494767123,64.0,28.0,38.0,51.0,62.0,64.0,220779020,5120008,259179028,1802240000,5017705,9245610
drums,1,0.95,128,0.9648940010958198,0.99885816663197,0.9977794179804059,128.0,28.0,38.0,51.0,62.0,97.0,227258636,5120008,265658644,3604480000,5164969,9245610
ficus,1,0.9,32,0.7205963033539501,0.23717939558476817,0.23717939558476817,32.0,32.0,32.0,32.0,32.0,32.0,98732084,5120008,137132092,901120000,2243911,7563748
ficus,1,0.9,64,0.8934069488820325,0.7959134100164321,0.7959134100164321,64.0,46.0,60.0,64.0,64.0,64.0,144582196,5120008,182982204,1802240000,3285959,7563748
ficus,1,0.9,128,0.9197457480587241,0.9931985425448311,0.9931985425448311,128.0,46.0,60.0,80.0,94.0,122.0,157300528,5120008,195700536,3604480000,3575012,7563748
ficus,1,0.95,32,0.7263510109464638,0.23717939558476817,0.1634635993427163,32.0,32.0,32.0,32.0,32.0,32.0,101471700,5120008,139871708,901120000,2306175,7563748
ficus,1,0.95,64,0.921419000115681,0.7959134100164321,0.6689576337786669,64.0,53.0,64.0,64.0,64.0,64.0,159649336,5120008,198049344,1802240000,3628394,7563748
ficus,1,0.95,128,0.9599496939121416,0.9931985425448311,0.9771665356862185,128.0,53.0,72.0,96.0,113.0,128.0,184194516,5120008,222594524,3604480000,4186239,7563748
