scene,view,control,channel,grid,components,ink_pixels,long_component_ink_fraction
chair,1,density,E_occ,95_70,36,9969,0.9857558431136523
chair,1,density,E_occ,90_60,46,14503,0.9534579052609805
chair,1,density,E_layer,95_70,36,9969,0.9857558431136523
chair,1,density,E_layer,90_60,46,14503,0.9534579052609805
chair,1,density,E_shape_ridge,95_70,36,9969,0.9857558431136523
chair,1,density,E_shape_ridge,90_60,46,14503,0.9534579052609805
chair,1,density,E_shape_valley,95_70,36,9969,0.9857558431136523
chair,1,density,E_shape_valley,90_60,46,14503,0.9534579052609805
chair,1,expected_depth,E_occ,95_70,105,22692,0.9716640225630178
chair,1,expected_depth,E_occ,90_60,125,42217,0.9836795603666769
chair,1,expected_depth,E_layer,95_70,105,22692,0.9716640225630178
chair,1,expected_depth,E_layer,90_60,125,42217,0.9836795603666769
chair,1,expected_depth,E_shape_ridge,95_70,105,22692,0.9716640225630178
chair,1,expected_depth,E_shape_ridge,90_60,125,42217,0.9836795603666769
chair,1,expected_depth,E_shape_valley,95_70,105,22692,0.9716640225630178
chair,1,expected_depth,E_shape_valley,90_60,125,42217,0.9836795603666769
chair,1,front_depth,E_occ,95_70,15,35693,0.9995797495307203
chair,1,front_depth,E_occ,90_60,27,46304,0.998855390463027
chair,1,front_depth,E_layer,95_70,15,35693,0.9995797495307203
chair,1,front_depth,E_layer,90_60,27,46304,0.998855390463027
chair,1,front_depth,E_shape_ridge,95_70,15,35693,0.9995797495307203
chair,1,front_depth,E_shape_ridge,90_60,27,46304,0.998855390463027
chair,1,front_depth,E_shape_valley,95_70,15,35693,0.9995797495307203
chair,1,front_depth,E_shape_valley,90_60,27,46304,0.998855390463027
chair,1,full,E_occ,95_70,625,16503,0.750287826455796
chair,1,full,E_occ,90_60,510,26393,0.871632629863979
chair,1,full,E_layer,95_70,96,1346,0.6359583952451708
chair,1,full,E_layer,90_60,140,2094,0.6012416427889207
chair,1,full,E_shape_ridge,95_70,418,15509,0.8271971113546973
chair,1,full,E_shape_ridge,90_60,589,23476,0.840475379110581
chair,1,full,E_shape_valley,95_70,180,15868,0.9369800857070835
chair,1,full,E_shape_valley,90_60,449,25893,0.8861468350519446
chair,1,k16,E_occ,95_70,630,9264,0.5294689119170984
chair,1,k16,E_occ,90_60,876,15662,0.6315923892223215
chair,1,k16,E_layer,95_70,6,131,0.48854961832061067
chair,1,k16,E_layer,90_60,9,195,0.3282051282051282
chair,1,k16,E_shape_ridge,95_70,359,12524,0.7723570744171191
chair,1,k16,E_shape_ridge,90_60,444,18085,0.8230024882499308
chair,1,k16,E_shape_valley,95_70,197,10563,0.9100634289501088
chair,1,k16,E_shape_valley,90_60,452,19633,0.8668568226964805
chair,1,k4,E_occ,95_70,138,304,0.0
chair,1,k4,E_occ,90_60,287,642,0.0
chair,1,k4,E_layer,95_70,0,0,0.0
chair,1,k4,E_layer,90_60,0,0,0.0
chair,1,k4,E_shape_ridge,95_70,155,938,0.15245202558635396
chair,1,k4,E_shape_ridge,90_60,374,1712,0.06542056074766354
chair,1,k4,E_shape_valley,95_70,116,393,0.0
chair,1,k4,E_shape_valley,90_60,229,653,0.0
chair,1,k8,E_occ,95_70,469,2462,0.14337936636880586
chair,1,k8,E_occ,90_60,790,4261,0.22177892513494485
chair,1,k8,E_layer,95_70,2,24,0.0
chair,1,k8,E_layer,90_60,2,29,0.0
chair,1,k8,E_shape_ridge,95_70,384,4248,0.413135593220339
chair,1,k8,E_shape_ridge,90_60,640,7132,0.4510656197420079
chair,1,k8,E_shape_valley,95_70,347,3161,0.4425814615627966
chair,1,k8,E_shape_valley,90_60,696,6557,0.4848253774592039
chair,1,median_depth,E_occ,95_70,90,28618,0.989132713676707
chair,1,median_depth,E_occ,90_60,95,46490,0.9767261776726177
chair,1,median_depth,E_layer,95_70,90,28618,0.989132713676707
chair,1,median_depth,E_layer,90_60,95,46490,0.9767261776726177
chair,1,median_depth,E_shape_ridge,95_70,90,28618,0.989132713676707
chair,1,median_depth,E_shape_ridge,90_60,95,46490,0.9767261776726177
chair,1,median_depth,E_shape_valley,95_70,90,28618,0.989132713676707
chair,1,median_depth,E_shape_valley,90_60,95,46490,0.9767261776726177
chair,1,no_ids,E_occ,95_70,532,8398,0.5534651107406525
chair,1,no_ids,E_occ,90_60,681,19581,0.8038915275011491
chair,1,no_ids,E_layer,95_70,96,1346,0.6359583952451708
chair,1,no_ids,E_layer,90_60,140,2094,0.6012416427889207
chair,1,no_ids,E_shape_ridge,95_70,625,14349,0.7479963760540804
chair,1,no_ids,E_shape_ridge,90_60,743,23438,0.788079187643997
chair,1,no_ids,E_shape_valley,95_70,197,15804,0.9320425208807896
chair,1,no_ids,E_shape_valley,90_60,494,24887,0.8705749989954594
chair,1,rgb_canny,E_occ,95_70,465,21516,0.8531325525190556
chair,1,rgb_canny,E_occ,90_60,465,21516,0.8531325525190556
chair,1,rgb_canny,E_layer,95_70,465,21516,0.8531325525190556
chair,1,rgb_canny,E_layer,90_60,465,21516,0.8531325525190556
chair,1,rgb_canny,E_shape_ridge,95_70,465,21516,0.8531325525190556
chair,1,rgb_canny,E_shape_ridge,90_60,465,21516,0.8531325525190556
chair,1,rgb_canny,E_shape_valley,95_70,465,21516,0.8531325525190556
chair,1,rgb_canny,E_shape_valley,90_60,465,21516,0.8531325525190556
chair,1,shuffled_depths,E_occ,95_70,2053,9051,0.03148823334438183
chair,1,shuffled_depths,E_occ,90_60,2911,16976,0.1541588124410933
chair,1,shuffled_depths,E_layer,95_70,336,493,0.0
chair,1,shuffled_depths,E_layer,90_60,637,972,0.0
chair,1,shuffled_depths,E_shape_ridge,95_70,3306,15184,0.15424130663856692
chair,1,shuffled_depths,E_shape_ridge,90_60,4379,27213,0.3407195090581707
chair,1,shuffled_depths,E_shape_valley,95_70,3211,12835,0.08009349435138294
chair,1,shuffled_depths,E_shape_valley,90_60,4124,23803,0.2570264252405159
chair,1,shuffled_ids,E_occ,95_70,555,7290,0.43209876543209874
chair,1,shuffled_ids,E_occ,90_60,759,15593,0.6762008593599692
chair,1,shuffled_ids,E_layer,95_70,96,987,0.47720364741641336
chair,1,shuffled_ids,E_layer,90_60,135,1703,0.4908984145625367
chair,1,shuffled_ids,E_shape_ridge,95_70,958,3209,0.058273605484574637
chair,1,shuffled_ids,E_shape_ridge,90_60,1527,5758,0.0963876345953456
chair,1,shuffled_ids,E_shape_valley,95_70,912,3721,0.11824778285407149
chair,1,shuffled_ids,E_shape_valley,90_60,1555,6670,0.17481259370314842
chair,1,tau90_32,E_occ,95_70,675,15055,0.6904018598472268
chair,1,tau90_32,E_occ,90_60,553,25016,0.8587304125359769
chair,1,tau90_32,E_layer,95_70,57,824,0.5351941747572816
chair,1,tau90_32,E_layer,90_60,76,1249,0.5212169735788631
chair,1,tau90_32,E_shape_ridge,95_70,406,15725,0.8249920508744039
chair,1,tau90_32,E_shape_ridge,90_60,518,22797,0.8602447690485591
chair,1,tau90_32,E_shape_valley,95_70,180,15219,0.9302845127800775
chair,1,tau90_32,E_shape_valley,90_60,400,25381,0.8806981600409756
chair,1,tau90_64,E_occ,95_70,629,16460,0.7482989064398542
chair,1,tau90_64,E_occ,90_60,519,26575,0.8753715898400752
chair,1,tau90_64,E_layer,95_70,107,1361,0.5745775165319618
chair,1,tau90_64,E_layer,90_60,138,2059,0.6046624575036426
chair,1,tau90_64,E_shape_ridge,95_70,415,15411,0.8236324703134125
chair,1,tau90_64,E_shape_ridge,90_60,582,23379,0.8387869455494247
chair,1,tau90_64,E_shape_valley,95_70,180,15727,0.9402301774019203
chair,1,tau90_64,E_shape_valley,90_60,449,26017,0.8857285620940154
chair,1,tau95_128,E_occ,95_70,644,16281,0.7463914992936552
chair,1,tau95_128,E_occ,90_60,539,27215,0.871320962704391
chair,1,tau95_128,E_layer,95_70,106,1576,0.608502538071066
chair,1,tau95_128,E_layer,90_60,146,2434,0.657354149548069
chair,1,tau95_128,E_shape_ridge,95_70,451,15864,0.8107665153807363
chair,1,tau95_128,E_shape_ridge,90_60,630,23642,0.8185432704508925
chair,1,tau95_128,E_shape_valley,95_70,193,15462,0.9230371232699521
chair,1,tau95_128,E_shape_valley,90_60,458,25937,0.8921617766125612
chair,1,tau95_32,E_occ,95_70,711,15280,0.6893979057591623
chair,1,tau95_32,E_occ,90_60,581,25466,0.8598916201994816
chair,1,tau95_32,E_layer,95_70,54,763,0.5399737876802096
chair,1,tau95_32,E_layer,90_60,81,1331,0.5837716003005259
chair,1,tau95_32,E_shape_ridge,95_70,443,15829,0.8023880219849643
chair,1,tau95_32,E_shape_ridge,90_60,536,22961,0.8399024432733766
chair,1,tau95_32,E_shape_valley,95_70,183,15179,0.930298438632321
chair,1,tau95_32,E_shape_valley,90_60,428,25153,0.888363217111279
chair,1,tau95_64,E_occ,95_70,645,16294,0.7407634712163986
chair,1,tau95_64,E_occ,90_60,545,27216,0.8714359200470312
chair,1,tau95_64,E_layer,95_70,111,1701,0.5955320399764844
chair,1,tau95_64,E_layer,90_60,143,2358,0.628498727735369
chair,1,tau95_64,E_shape_ridge,95_70,458,15791,0.8067253498828446
chair,1,tau95_64,E_shape_ridge,90_60,644,23499,0.8147580748116942
chair,1,tau95_64,E_shape_valley,95_70,194,15581,0.9229189397342917
chair,1,tau95_64,E_shape_valley,90_60,474,26081,0.8929872320846594
chair,1,uniform,E_occ,95_70,590,11168,0.660458452722063
chair,1,uniform,E_occ,90_60,723,21122,0.8074519458384622
chair,1,uniform,E_layer,95_70,124,1588,0.5869017632241813
chair,1,uniform,E_layer,90_60,175,2568,0.6429127725856698
chair,1,uniform,E_shape_ridge,95_70,567,15692,0.75070099413714
chair,1,uniform,E_shape_ridge,90_60,728,24275,0.8114109165808445
chair,1,uniform,E_shape_valley,95_70,281,15468,0.8666278769071631
chair,1,uniform,E_shape_valley,90_60,592,25935,0.8302679776363987
chair,27,density,E_occ,95_70,56,8400,0.9160714285714285
chair,27,density,E_occ,90_60,61,11970,0.9346700083542189
chair,27,density,E_layer,95_70,56,8400,0.9160714285714285
chair,27,density,E_layer,90_60,61,11970,0.9346700083542189
chair,27,density,E_shape_ridge,95_70,56,8400,0.9160714285714285
chair,27,density,E_shape_ridge,90_60,61,11970,0.9346700083542189
chair,27,density,E_shape_valley,95_70,56,8400,0.9160714285714285
chair,27,density,E_shape_valley,90_60,61,11970,0.9346700083542189
chair,27,expected_depth,E_occ,95_70,55,13329,0.9846200015004877
chair,27,expected_depth,E_occ,90_60,74,36593,0.9939605935561446
chair,27,expected_depth,E_layer,95_70,55,13329,0.9846200015004877
chair,27,expected_depth,E_layer,90_60,74,36593,0.9939605935561446
chair,27,expected_depth,E_shape_ridge,95_70,55,13329,0.9846200015004877
chair,27,expected_depth,E_shape_ridge,90_60,74,36593,0.9939605935561446
chair,27,expected_depth,E_shape_valley,95_70,55,13329,0.9846200015004877
chair,27,expected_depth,E_shape_valley,90_60,74,36593,0.9939605935561446
chair,27,front_depth,E_occ,95_70,49,15599,0.9898711455862556
chair,27,front_depth,E_occ,90_60,54,35506,0.9975215456542557
chair,27,front_depth,E_layer,95_70,49,15599,0.9898711455862556
chair,27,front_depth,E_layer,90_60,54,35506,0.9975215456542557
chair,27,front_depth,E_shape_ridge,95_70,49,15599,0.9898711455862556
chair,27,front_depth,E_shape_ridge,90_60,54,35506,0.9975215456542557
chair,27,front_depth,E_shape_valley,95_70,49,15599,0.9898711455862556
chair,27,front_depth,E_shape_valley,90_60,54,35506,0.9975215456542557
chair,27,full,E_occ,95_70,300,12921,0.8749322807832212
chair,27,full,E_occ,90_60,322,20931,0.9198318283885146
chair,27,full,E_layer,95_70,48,366,0.0
chair,27,full,E_layer,90_60,78,900,0.46111111111111114
chair,27,full,E_shape_ridge,95_70,346,13542,0.795303500221533
chair,27,full,E_shape_ridge,90_60,471,19802,0.8183011816988183
chair,27,full,E_shape_valley,95_70,73,10797,0.98110586273965
chair,27,full,E_shape_valley,90_60,177,22456,0.9663341645885287
chair,27,k16,E_occ,95_70,472,8553,0.6659651584239448
chair,27,k16,E_occ,90_60,728,14863,0.7124402879633991
chair,27,k16,E_layer,95_70,32,537,0.6852886405959032
chair,27,k16,E_layer,90_60,56,780,0.541025641025641
chair,27,k16,E_shape_ridge,95_70,264,10724,0.7927079447967177
chair,27,k16,E_shape_ridge,90_60,434,16173,0.817906387188524
chair,27,k16,E_shape_valley,95_70,145,8016,0.9200349301397206
chair,27,k16,E_shape_valley,90_60,343,15699,0.8581438308172495
chair,27,k4,E_occ,95_70,48,266,0.13533834586466165
chair,27,k4,E_occ,90_60,103,514,0.1264591439688716
chair,27,k4,E_layer,95_70,2,9,0.0
chair,27,k4,E_layer,90_60,4,18,0.0
chair,27,k4,E_shape_ridge,95_70,62,726,0.2809917355371901
chair,27,k4,E_shape_ridge,90_60,90,1178,0.41935483870967744
chair,27,k4,E_shape_valley,95_70,43,209,0.2822966507177033
chair,27,k4,E_shape_valley,90_60,62,442,0.3167420814479638
chair,27,k8,E_occ,95_70,302,2379,0.4241277847835225
chair,27,k8,E_occ,90_60,535,4441,0.4989867147038955
chair,27,k8,E_layer,95_70,26,331,0.4108761329305136
chair,27,k8,E_layer,90_60,42,565,0.6
chair,27,k8,E_shape_ridge,95_70,181,4613,0.5770648168220247
chair,27,k8,E_shape_ridge,90_60,296,7546,0.6632653061224489
chair,27,k8,E_shape_valley,95_70,149,1871,0.4911811865312667
chair,27,k8,E_shape_valley,90_60,363,3928,0.440173116089613
chair,27,median_depth,E_occ,95_70,48,12298,0.9842250772483331
chair,27,median_depth,E_occ,90_60,77,35769,0.9906902625178227
chair,27,median_depth,E_layer,95_70,48,12298,0.9842250772483331
chair,27,median_depth,E_layer,90_60,77,35769,0.9906902625178227
chair,27,median_depth,E_shape_ridge,95_70,48,12298,0.9842250772483331
chair,27,median_depth,E_shape_ridge,90_60,77,35769,0.9906902625178227
chair,27,median_depth,E_shape_valley,95_70,48,12298,0.9842250772483331
chair,27,median_depth,E_shape_valley,90_60,77,35769,0.9906902625178227
chair,27,no_ids,E_occ,95_70,378,9559,0.71900826446281
chair,27,no_ids,E_occ,90_60,509,17240,0.8455916473317865
chair,27,no_ids,E_layer,95_70,48,366,0.0
chair,27,no_ids,E_layer,90_60,78,900,0.46111111111111114
chair,27,no_ids,E_shape_ridge,95_70,491,13943,0.7672667288244998
chair,27,no_ids,E_shape_ridge,90_60,533,20373,0.8387080940460413
chair,27,no_ids,E_shape_valley,95_70,58,11068,0.9840079508492953
chair,27,no_ids,E_shape_valley,90_60,241,23004,0.9487480438184663
chair,27,rgb_canny,E_occ,95_70,286,9384,0.8402600170502984
chair,27,rgb_canny,E_occ,90_60,286,9384,0.8402600170502984
chair,27,rgb_canny,E_layer,95_70,286,9384,0.8402600170502984
chair,27,rgb_canny,E_layer,90_60,286,9384,0.8402600170502984
chair,27,rgb_canny,E_shape_ridge,95_70,286,9384,0.8402600170502984
chair,27,rgb_canny,E_shape_ridge,90_60,286,9384,0.8402600170502984
chair,27,rgb_canny,E_shape_valley,95_70,286,9384,0.8402600170502984
chair,27,rgb_canny,E_shape_valley,90_60,286,9384,0.8402600170502984
chair,27,shuffled_depths,E_occ,95_70,1431,6892,0.1286999419616947
chair,27,shuffled_depths,E_occ,90_60,1907,13708,0.3550481470674059
chair,27,shuffled_depths,E_layer,95_70,184,216,0.0
chair,27,shuffled_depths,E_layer,90_60,357,431,0.0
chair,27,shuffled_depths,E_shape_ridge,95_70,1447,7314,0.32936833470057425
chair,27,shuffled_depths,E_shape_ridge,90_60,1788,12649,0.5054154478614911
chair,27,shuffled_depths,E_shape_valley,95_70,1933,6561,0.12696235329980185
