normal,k,q,tau,nsel,prec,rec,nvis
cov,6,0.00,-1.00000,24275,0.3460,0.9065,13442
cov,6,0.10,0.03676,23259,0.3493,0.9020,12925
cov,6,0.25,0.09771,21193,0.3566,0.8873,11780
cov,6,0.40,0.16342,18444,0.3632,0.8605,10241
cov,6,0.55,0.22287,15288,0.3712,0.8349,8493
cov,6,0.65,0.26286,12875,0.3729,0.8000,7148
cov,6,0.75,0.31101,10142,0.3763,0.7534,5615
cov,6,0.85,0.37941,6823,0.3770,0.6576,3750
cov,6,0.92,0.45515,4061,0.3799,0.5321,2223
cov,8,0.00,-1.00000,19958,0.3478,0.8870,11138
cov,8,0.10,0.04625,19380,0.3514,0.8831,10834
cov,8,0.25,0.10582,18002,0.3550,0.8730,10064
cov,8,0.40,0.15980,16053,0.3633,0.8478,8936
cov,8,0.55,0.20995,13547,0.3693,0.8225,7547
cov,8,0.65,0.24883,11534,0.3699,0.7889,6423
cov,8,0.75,0.29879,9142,0.3758,0.7399,5057
cov,8,0.85,0.36565,6369,0.3806,0.6516,3518
cov,8,0.92,0.43725,3969,0.3775,0.5333,2183
cov,12,0.00,-1.00000,15001,0.3431,0.8438,8306
cov,12,0.10,0.05512,14770,0.3454,0.8419,8184
cov,12,0.25,0.10660,14017,0.3502,0.8377,7779
cov,12,0.40,0.15008,12771,0.3601,0.8193,7093
cov,12,0.55,0.20019,11124,0.3690,0.7938,6180
cov,12,0.65,0.24070,9711,0.3698,0.7637,5385
cov,12,0.75,0.28844,8038,0.3713,0.7299,4435
cov,12,0.85,0.35150,5870,0.3732,0.6543,3228
cov,12,0.92,0.42080,3785,0.3642,0.5154,2063
cov,16,0.00,-1.00000,12001,0.3374,0.8022,6632
cov,16,0.10,0.05691,11889,0.3393,0.8016,6579
cov,16,0.25,0.10291,11474,0.3462,0.7973,6357
cov,16,0.40,0.14703,10609,0.3587,0.7859,5873
cov,16,0.55,0.19787,9465,0.3654,0.7598,5243
cov,16,0.65,0.23726,8425,0.3703,0.7390,4663
cov,16,0.75,0.28347,7186,0.3712,0.7028,3953
cov,16,0.85,0.34553,5405,0.3704,0.6203,2966
cov,16,0.92,0.41276,3590,0.3602,0.5074,1961
cov,24,0.00,-1.00000,9149,0.3304,0.7331,5073
cov,24,0.10,0.05654,9097,0.3314,0.7308,5044
cov,24,0.25,0.10105,8848,0.3385,0.7300,4917
cov,24,0.40,0.14632,8412,0.3470,0.7258,4674
cov,24,0.55,0.19624,7656,0.3542,0.7049,4241
cov,24,0.65,0.23524,6930,0.3601,0.6846,3840
cov,24,0.75,0.28059,5999,0.3619,0.6537,3312
cov,24,0.85,0.34051,4654,0.3588,0.5819,2566
cov,24,0.92,0.40467,3266,0.3498,0.4707,1786
pca6,6,0.00,-1.00000,22058,0.3510,0.8950,12214
pca6,6,0.10,0.02280,21285,0.3595,0.8947,11837
pca6,6,0.25,0.07042,19362,0.3791,0.8821,10786
pca6,6,0.40,0.12552,17141,0.3942,0.8585,9556
pca6,6,0.55,0.18196,14406,0.4021,0.8224,8022
pca6,6,0.65,0.22182,12300,0.4090,0.7938,6858
pca6,6,0.75,0.26729,9766,0.4069,0.7466,5463
pca6,6,0.85,0.32776,6666,0.4057,0.6522,3707
pca6,6,0.92,0.39634,3999,0.4035,0.5305,2212
pca6,8,0.00,-1.00000,18075,0.3538,0.8691,9996
pca6,8,0.10,0.02699,17664,0.3595,0.8687,9803
pca6,8,0.25,0.07634,16463,0.3759,0.8579,9125
pca6,8,0.40,0.12540,15015,0.3909,0.8397,8321
pca6,8,0.55,0.17337,12996,0.4015,0.8005,7186
pca6,8,0.65,0.20970,11268,0.4064,0.7749,6229
pca6,8,0.75,0.25375,9106,0.4115,0.7379,5022
pca6,8,0.85,0.31336,6348,0.4047,0.6502,3502
pca6,8,0.92,0.37888,3881,0.4046,0.5407,2182
pca6,12,0.00,-1.00000,13220,0.3620,0.8222,7319
pca6,12,0.10,0.03172,13043,0.3658,0.8219,7238
pca6,12,0.25,0.07651,12429,0.3789,0.8166,6898
pca6,12,0.40,0.11748,11579,0.3927,0.7989,6432
pca6,12,0.55,0.16169,10310,0.4072,0.7733,5746
pca6,12,0.65,0.19630,9214,0.4101,0.7450,5130
pca6,12,0.75,0.23751,7774,0.4118,0.6985,4324
pca6,12,0.85,0.29364,5753,0.4079,0.6284,3189
pca6,12,0.92,0.35528,3661,0.3936,0.4989,2024
pca6,16,0.00,-1.00000,10676,0.3683,0.7782,5901
pca6,16,0.10,0.03356,10574,0.3713,0.7782,5849
pca6,16,0.25,0.07444,10228,0.3818,0.7765,5658
pca6,16,0.40,0.11197,9669,0.3936,0.7612,5357
pca6,16,0.55,0.15491,8809,0.4084,0.7398,4900
pca6,16,0.65,0.18773,8080,0.4161,0.7246,4495
pca6,16,0.75,0.22670,6967,0.4158,0.6884,3881
pca6,16,0.85,0.28014,5270,0.4092,0.6128,2936
pca6,16,0.92,0.33916,3488,0.3850,0.4892,1934
pca6,24,0.00,-1.00000,7940,0.3504,0.6891,4343
pca6,24,0.10,0.03356,7899,0.3517,0.6891,4326
pca6,24,0.25,0.06867,7710,0.3594,0.6888,4223
pca6,24,0.40,0.10393,7381,0.3717,0.6801,4049
pca6,24,0.55,0.14324,6968,0.3834,0.6665,3825
pca6,24,0.65,0.17394,6539,0.3877,0.6456,3595
pca6,24,0.75,0.21126,5836,0.3900,0.6150,3211
pca6,24,0.85,0.26105,4588,0.3799,0.5519,2521
pca6,24,0.92,0.31505,3124,0.3675,0.4443,1704
pca8,6,0.00,-1.00000,22322,0.3590,0.8983,12363
pca8,6,0.10,0.01265,21496,0.3696,0.8977,11960
pca8,6,0.25,0.04627,19381,0.3976,0.8880,10803
pca8,6,0.40,0.09993,16995,0.4177,0.8680,9494
pca8,6,0.55,0.16097,14265,0.4299,0.8210,7982
pca8,6,0.65,0.20469,12158,0.4329,0.7851,6793
pca8,6,0.75,0.25318,9655,0.4367,0.7345,5395
pca8,6,0.85,0.31568,6589,0.4427,0.6549,3694
pca8,6,0.92,0.38810,3934,0.4321,0.5236,2180
pca8,8,0.00,-1.00000,17618,0.3585,0.8685,9739
pca8,8,0.10,0.01518,17078,0.3673,0.8678,9483
pca8,8,0.25,0.05284,15597,0.3948,0.8627,8664
pca8,8,0.40,0.10389,14036,0.4156,0.8414,7786
pca8,8,0.55,0.15621,12158,0.4277,0.7996,6775
pca8,8,0.65,0.19314,10591,0.4324,0.7668,5912
pca8,8,0.75,0.23662,8621,0.4382,0.7203,4796
pca8,8,0.85,0.29808,6067,0.4418,0.6319,3397
pca8,8,0.92,0.36730,3763,0.4466,0.5258,2105
pca8,12,0.00,-1.00000,13017,0.3682,0.8069,7234
pca8,12,0.10,0.01829,12793,0.3737,0.8069,7123
pca8,12,0.25,0.05880,11966,0.3963,0.8034,6658
pca8,12,0.40,0.10300,11113,0.4116,0.7862,6201
pca8,12,0.55,0.14748,9981,0.4250,0.7582,5589
pca8,12,0.65,0.18249,8971,0.4317,0.7338,5043
pca8,12,0.75,0.22457,7568,0.4358,0.6933,4269
pca8,12,0.85,0.28229,5601,0.4380,0.6203,3146
pca8,12,0.92,0.34743,3577,0.4271,0.5076,1994
pca8,16,0.00,-1.00000,10404,0.3729,0.7647,5772
pca8,16,0.10,0.02039,10270,0.3769,0.7647,5707
pca8,16,0.25,0.05982,9702,0.3954,0.7632,5407
pca8,16,0.40,0.10027,9168,0.4100,0.7508,5124
pca8,16,0.55,0.14265,8434,0.4266,0.7361,4742
pca8,16,0.65,0.17570,7712,0.4313,0.7127,4350
pca8,16,0.75,0.21662,6726,0.4309,0.6685,3812
pca8,16,0.85,0.27235,5162,0.4303,0.5991,2921
pca8,16,0.92,0.33215,3413,0.4115,0.4882,1905
pca8,24,0.00,-1.00000,7645,0.3726,0.6964,4230
pca8,24,0.10,0.02208,7571,0.3758,0.6964,4193
pca8,24,0.25,0.05772,7248,0.3898,0.6952,4031
pca8,24,0.40,0.09408,6948,0.4029,0.6876,3860
pca8,24,0.55,0.13499,6547,0.4159,0.6735,3651
pca8,24,0.65,0.16678,6199,0.4182,0.6543,3468
pca8,24,0.75,0.20540,5603,0.4194,0.6250,3141
pca8,24,0.85,0.25771,4529,0.4150,0.5680,2499
pca8,24,0.92,0.31441,3142,0.4017,0.4578,1728
pca12,6,0.00,-1.00000,22515,0.3587,0.9034,12506
pca12,6,0.10,0.00624,21650,0.3712,0.9033,12036
pca12,6,0.25,0.02491,19180,0.4074,0.8914,10670
pca12,6,0.40,0.06781,16640,0.4334,0.8532,9294
pca12,6,0.55,0.13059,13956,0.4423,0.8037,7836
pca12,6,0.65,0.17795,11798,0.4470,0.7564,6659
pca12,6,0.75,0.22949,9343,0.4477,0.6954,5286
pca12,6,0.85,0.29649,6400,0.4479,0.6194,3608
pca12,6,0.92,0.37085,3850,0.4436,0.5163,2208
pca12,8,0.00,-1.00000,18148,0.3606,0.8636,10024
pca12,8,0.10,0.00721,17615,0.3706,0.8636,9739
pca12,8,0.25,0.03002,15830,0.4037,0.8496,8753
pca12,8,0.40,0.07664,14112,0.4249,0.8244,7866
pca12,8,0.55,0.13254,12148,0.4381,0.7752,6842
pca12,8,0.65,0.17227,10508,0.4412,0.7344,5939
pca12,8,0.75,0.21791,8490,0.4459,0.6851,4822
pca12,8,0.85,0.28071,5958,0.4366,0.6009,3378
pca12,8,0.92,0.35298,3711,0.4357,0.5052,2111
pca12,12,0.00,-1.00000,12691,0.3624,0.7961,7051
pca12,12,0.10,0.00843,12399,0.3703,0.7960,6894
pca12,12,0.25,0.03620,11295,0.4016,0.7845,6291
pca12,12,0.40,0.08269,10456,0.4181,0.7658,5845
pca12,12,0.55,0.12915,9320,0.4308,0.7248,5248
pca12,12,0.65,0.16273,8276,0.4407,0.6972,4678
pca12,12,0.75,0.20568,6974,0.4418,0.6483,3961
pca12,12,0.85,0.26588,5226,0.4358,0.5746,2970
pca12,12,0.92,0.33321,3416,0.4271,0.4824,1954
pca12,16,0.00,-1.00000,10201,0.3626,0.7442,5653
pca12,16,0.10,0.00919,10016,0.3693,0.7439,5549
pca12,16,0.25,0.04091,9268,0.3967,0.7369,5135
pca12,16,0.40,0.08318,8728,0.4119,0.7249,4858
pca12,16,0.55,0.12656,7945,0.4259,0.6948,4459
pca12,16,0.65,0.15985,7190,0.4349,0.6710,4064
pca12,16,0.75,0.20146,6247,0.4349,0.6253,3546
pca12,16,0.85,0.25934,4865,0.4288,0.5613,2765
pca12,16,0.92,0.32321,3274,0.4149,0.4682,1845
pca12,24,0.00,-1.00000,7575,0.3694,0.6655,4208
pca12,24,0.10,0.01078,7455,0.3752,0.6655,4143
pca12,24,0.25,0.04492,7003,0.3982,0.6653,3897
pca12,24,0.40,0.08233,6664,0.4147,0.6561,3700
pca12,24,0.55,0.12458,6282,0.4239,0.6388,3525
pca12,24,0.65,0.15680,5920,0.4296,0.6236,3343
pca12,24,0.75,0.19729,5311,0.4314,0.5909,3017
pca12,24,0.85,0.25168,4315,0.4202,0.5297,2452
pca12,24,0.92,0.31375,3036,0.4115,0.4471,1720
pca16,6,0.00,-1.00000,22833,0.3595,0.8957,12617
pca16,6,0.10,0.00379,21925,0.3729,0.8946,12130
pca16,6,0.25,0.01609,19334,0.4119,0.8818,10713
pca16,6,0.40,0.04799,16732,0.4361,0.8359,9344
pca16,6,0.55,0.10194,13815,0.4495,0.7793,7795
pca16,6,0.65,0.15011,11586,0.4474,0.7309,6536
pca16,6,0.75,0.20503,9051,0.4490,0.6673,5119
pca16,6,0.85,0.27400,6131,0.4452,0.5822,3480
pca16,6,0.92,0.34820,3753,0.4459,0.4795,2140
pca16,8,0.00,-1.00000,18469,0.3663,0.8690,10196
pca16,8,0.10,0.00427,17849,0.3779,0.8689,9871
pca16,8,0.25,0.01942,15935,0.4142,0.8583,8851
pca16,8,0.40,0.05633,14148,0.4346,0.8159,7917
pca16,8,0.55,0.10994,11996,0.4438,0.7566,6787
pca16,8,0.65,0.15065,10270,0.4452,0.7156,5836
pca16,8,0.75,0.19688,8225,0.4504,0.6590,4692
pca16,8,0.85,0.26142,5704,0.4414,0.5670,3252
pca16,8,0.92,0.33433,3595,0.4407,0.4638,2047
pca16,12,0.00,-1.00000,13207,0.3648,0.8029,7324
pca16,12,0.10,0.00498,12845,0.3750,0.8029,7123
pca16,12,0.25,0.02453,11663,0.4073,0.7867,6490
pca16,12,0.40,0.06633,10710,0.4249,0.7551,6013
pca16,12,0.55,0.11257,9417,0.4363,0.7112,5342
pca16,12,0.65,0.14659,8320,0.4423,0.6786,4736
pca16,12,0.75,0.19026,6905,0.4394,0.6266,3957
pca16,12,0.85,0.25153,5078,0.4351,0.5424,2916
pca16,12,0.92,0.32109,3351,0.4331,0.4617,1914
pca16,16,0.00,-1.00000,10116,0.3656,0.7267,5592
pca16,16,0.10,0.00544,9875,0.3748,0.7267,5454
pca16,16,0.25,0.02939,9046,0.4069,0.7221,5005
pca16,16,0.40,0.06997,8480,0.4219,0.7019,4724
pca16,16,0.55,0.11162,7645,0.4364,0.6740,4307
pca16,16,0.65,0.14507,6941,0.4389,0.6411,3939
pca16,16,0.75,0.18702,5987,0.4335,0.5897,3411
pca16,16,0.85,0.24673,4613,0.4348,0.5207,2632
pca16,16,0.92,0.31197,3183,0.4257,0.4340,1806
pca16,24,0.00,-1.00000,7410,0.3673,0.6414,4075
pca16,24,0.10,0.00627,7245,0.3751,0.6414,3990
pca16,24,0.25,0.03516,6704,0.4031,0.6385,3707
pca16,24,0.40,0.07180,6427,0.4143,0.6227,3565
pca16,24,0.55,0.11331,5980,0.4226,0.6087,3360
pca16,24,0.65,0.14650,5566,0.4281,0.5869,3155
pca16,24,0.75,0.18764,4946,0.4305,0.5520,2807
pca16,24,0.85,0.24441,4001,0.4252,0.4857,2273
pca16,24,0.92,0.30744,2894,0.4186,0.4116,1645
sm6,6,0.00,-1.00000,23838,0.3492,0.9015,13251
sm6,6,0.10,0.01433,22753,0.3542,0.8960,12674
sm6,6,0.25,0.04455,20517,0.3634,0.8813,11437
sm6,6,0.40,0.09317,17706,0.3727,0.8480,9861
sm6,6,0.55,0.15926,14332,0.3807,0.7995,7989
sm6,6,0.65,0.20864,11923,0.3863,0.7614,6629
sm6,6,0.75,0.26599,9357,0.3917,0.7087,5216
sm6,6,0.85,0.33913,6371,0.3940,0.6152,3538
sm6,6,0.92,0.42675,3841,0.3986,0.5013,2141
sm6,8,0.00,-1.00000,19444,0.3534,0.8793,10822
sm6,8,0.10,0.02011,18777,0.3578,0.8729,10468
sm6,8,0.25,0.05836,17270,0.3676,0.8584,9632
sm6,8,0.40,0.11015,15182,0.3762,0.8285,8457
sm6,8,0.55,0.16563,12644,0.3881,0.7925,7065
sm6,8,0.65,0.20608,10768,0.3887,0.7482,5984
sm6,8,0.75,0.25407,8554,0.3938,0.6974,4743
sm6,8,0.85,0.32553,5930,0.3972,0.6012,3292
sm6,8,0.92,0.41212,3758,0.3936,0.4893,2089
sm6,12,0.00,-1.00000,14328,0.3542,0.8410,7952
sm6,12,0.10,0.02984,14046,0.3588,0.8383,7813
sm6,12,0.25,0.07497,13189,0.3683,0.8282,7356
sm6,12,0.40,0.11883,11940,0.3779,0.8102,6663
sm6,12,0.55,0.16466,10292,0.3878,0.7679,5724
sm6,12,0.65,0.20232,8909,0.3948,0.7299,4934
sm6,12,0.75,0.25120,7304,0.3976,0.6717,4047
sm6,12,0.85,0.32120,5408,0.3953,0.5865,2984
sm6,12,0.92,0.39885,3605,0.3953,0.4824,1989
sm6,16,0.00,-1.00000,11395,0.3532,0.7940,6308
sm6,16,0.10,0.03681,11249,0.3564,0.7933,6233
sm6,16,0.25,0.08016,10756,0.3667,0.7867,5964
sm6,16,0.40,0.12028,9912,0.3783,0.7709,5485
sm6,16,0.55,0.16673,8681,0.3863,0.7271,4787
sm6,16,0.65,0.20498,7732,0.3904,0.6918,4264
sm6,16,0.75,0.25189,6567,0.3883,0.6479,3611
sm6,16,0.85,0.31749,4981,0.3865,0.5666,2735
sm6,16,0.92,0.39422,3424,0.3932,0.4833,1890
sm6,24,0.00,-1.00000,8372,0.3480,0.7125,4667
sm6,24,0.10,0.04231,8333,0.3495,0.7125,4648
sm6,24,0.25,0.08316,8057,0.3590,0.7105,4492
sm6,24,0.40,0.12449,7556,0.3711,0.6947,4203
sm6,24,0.55,0.17238,6857,0.3822,0.6726,3813
sm6,24,0.65,0.20983,6227,0.3839,0.6347,3442
sm6,24,0.75,0.25562,5457,0.3879,0.6074,3004
sm6,24,0.85,0.31968,4308,0.3871,0.5391,2366
sm6,24,0.92,0.38984,3086,0.3870,0.4573,1701
sm8,6,0.00,-1.00000,23904,0.3504,0.9045,13263
sm8,6,0.10,0.01423,22821,0.3549,0.8974,12706
sm8,6,0.25,0.04471,20524,0.3655,0.8783,11423
sm8,6,0.40,0.09445,17675,0.3734,0.8494,9852
sm8,6,0.55,0.16007,14296,0.3846,0.8026,7967
sm8,6,0.65,0.21076,11870,0.3915,0.7658,6571
sm8,6,0.75,0.26680,9317,0.3928,0.7103,5155
sm8,6,0.85,0.33889,6343,0.3989,0.6196,3500
sm8,6,0.92,0.42474,3845,0.3950,0.5005,2137
sm8,8,0.00,-1.00000,19543,0.3509,0.8805,10861
sm8,8,0.10,0.01955,18844,0.3562,0.8756,10501
sm8,8,0.25,0.05827,17276,0.3649,0.8590,9625
