tag,nsel,prec,rec,nvis,extra
pca16/k6/q0.25/nmsoff,42663,0.4187,0.9478,23871,
pca16/k6/q0.25/nms0.5,12620,0.4022,0.8224,6975,
pca16/k6/q0.25/nms0.7,19334,0.4119,0.8818,10714,
pca16/k6/q0.25/nms0.9,31610,0.4179,0.9304,17645,
pca16/k6/q0.4/nmsoff,34130,0.4413,0.8975,19259,
pca16/k6/q0.4/nms0.5,11108,0.4292,0.7795,6172,
pca16/k6/q0.4/nms0.7,16732,0.4361,0.8359,9344,
pca16/k6/q0.4/nms0.9,26280,0.4391,0.8788,14783,
pca16/k6/q0.55/nmsoff,25598,0.4499,0.8360,14606,
pca16/k6/q0.55/nms0.5,9504,0.4436,0.7287,5347,
pca16/k6/q0.55/nms0.7,13815,0.4495,0.7793,7795,
pca16/k6/q0.55/nms0.9,20523,0.4495,0.8199,11687,
pca16/k6/q0.65/nmsoff,19910,0.4488,0.7877,11326,
pca16/k6/q0.65/nms0.5,8254,0.4436,0.6855,4650,
pca16/k6/q0.65/nms0.7,11586,0.4474,0.7309,6536,
pca16/k6/q0.65/nms0.9,16467,0.4489,0.7715,9361,
pca16/k8/q0.25/nmsoff,42663,0.4187,0.9479,23852,
pca16/k8/q0.25/nms0.5,9701,0.4068,0.7690,5350,
pca16/k8/q0.25/nms0.7,15935,0.4142,0.8583,8851,
pca16/k8/q0.25/nms0.9,29198,0.4184,0.9228,16333,
pca16/k8/q0.4/nmsoff,34130,0.4405,0.8934,19315,
pca16/k8/q0.4/nms0.5,8774,0.4286,0.7358,4864,
pca16/k8/q0.4/nms0.7,14148,0.4346,0.8159,7917,
pca16/k8/q0.4/nms0.9,24599,0.4393,0.8704,13928,
pca16/k8/q0.55/nmsoff,25598,0.4464,0.8340,14631,
pca16/k8/q0.55/nms0.5,7765,0.4395,0.6846,4358,
pca16/k8/q0.55/nms0.7,11996,0.4438,0.7566,6787,
pca16/k8/q0.55/nms0.9,19381,0.4460,0.8077,11085,
pca16/k8/q0.65/nmsoff,19910,0.4454,0.7894,11431,
pca16/k8/q0.65/nms0.5,6943,0.4424,0.6527,3913,
pca16/k8/q0.65/nms0.7,10270,0.4452,0.7156,5836,
pca16/k8/q0.65/nms0.9,15672,0.4457,0.7627,9000,
pca8/k4/q0.4/nms0.7,20802,0.4134,0.8837,11648,
pca8/k4/q0.55/nms0.7,16884,0.4232,0.8392,9476,
pca8/k4/q0.65/nms0.7,13890,0.4261,0.7906,7772,
pca8/k5/q0.4/nms0.7,18864,0.4134,0.8734,10583,
pca8/k5/q0.55/nms0.7,15579,0.4270,0.8258,8752,
pca8/k5/q0.65/nms0.7,13029,0.4321,0.7934,7302,
pca8/k6/q0.4/nms0.7,16995,0.4177,0.8680,9495,
pca8/k6/q0.55/nms0.7,14265,0.4298,0.8210,7982,
pca8/k6/q0.65/nms0.7,12158,0.4329,0.7851,6794,
pca8/k8/q0.4/nms0.7,14036,0.4156,0.8414,7787,
pca8/k8/q0.55/nms0.7,12158,0.4276,0.7996,6776,
pca8/k8/q0.65/nms0.7,10591,0.4324,0.7668,5913,
pca16/k4/q0.4/nms0.7,20084,0.4351,0.8717,11252,
pca16/k4/q0.55/nms0.7,16157,0.4486,0.8082,9110,
pca16/k4/q0.65/nms0.7,13278,0.4461,0.7450,7514,
pca16/k5/q0.4/nms0.7,18306,0.4386,0.8530,10220,
pca16/k5/q0.55/nms0.7,14945,0.4500,0.7828,8395,
pca16/k5/q0.65/nms0.7,12420,0.4501,0.7392,7014,
