pcak,k,mode,opa,q,nms,nsel,prec,rec,nvis
12,4,crease,0.10,0.25,off,42663,0.4101,0.9479,23786
12,4,crease,0.10,0.25,0.9,34765,0.4102,0.9357,19362
12,4,crease,0.10,0.25,0.7,23970,0.4042,0.9093,13364
12,4,crease,0.10,0.40,off,34130,0.4349,0.9127,19142
12,4,crease,0.10,0.40,0.9,28513,0.4346,0.9027,15977
12,4,crease,0.10,0.40,0.7,20218,0.4298,0.8771,11340
12,4,crease,0.10,0.55,off,25598,0.4452,0.8581,14426
12,4,crease,0.10,0.55,0.9,22060,0.4449,0.8488,12409
12,4,crease,0.10,0.55,0.7,16337,0.4424,0.8203,9192
12,4,crease,0.10,0.65,off,19910,0.4460,0.8052,11251
12,4,crease,0.10,0.65,0.9,17496,0.4469,0.7944,9877
12,4,crease,0.10,0.65,0.7,13472,0.4460,0.7657,7601
12,4,crease,0.10,0.75,off,14221,0.4470,0.7487,8050
12,4,crease,0.10,0.75,0.9,12770,0.4481,0.7327,7224
12,4,crease,0.10,0.75,0.7,10285,0.4464,0.7095,5824
12,4,crease,0.30,0.25,off,23979,0.4546,0.8864,13137
12,4,crease,0.30,0.25,0.9,21087,0.4521,0.8795,11545
12,4,crease,0.30,0.25,0.7,16522,0.4424,0.8559,9073
12,4,crease,0.30,0.40,off,19184,0.4669,0.8403,10572
12,4,crease,0.30,0.40,0.9,17139,0.4651,0.8334,9436
12,4,crease,0.30,0.40,0.7,13742,0.4582,0.8077,7574
12,4,crease,0.30,0.55,off,14388,0.4715,0.7828,7953
12,4,crease,0.30,0.55,0.9,13116,0.4702,0.7779,7248
12,4,crease,0.30,0.55,0.7,10834,0.4668,0.7518,5993
12,4,crease,0.30,0.65,off,11191,0.4697,0.7301,6204
12,4,crease,0.30,0.65,0.9,10322,0.4686,0.7228,5720
12,4,crease,0.30,0.65,0.7,8736,0.4666,0.6981,4854
12,4,crease,0.30,0.75,off,7993,0.4687,0.6620,4420
12,4,crease,0.30,0.75,0.9,7486,0.4684,0.6551,4141
12,4,crease,0.30,0.75,0.7,6536,0.4665,0.6381,3631
12,4,crease,0.50,0.25,off,15342,0.4930,0.8096,8359
12,4,crease,0.50,0.25,0.9,13936,0.4903,0.8013,7575
12,4,crease,0.50,0.25,0.7,11526,0.4800,0.7824,6278
12,4,crease,0.50,0.40,off,12273,0.4980,0.7580,6724
12,4,crease,0.50,0.40,0.9,11290,0.4951,0.7506,6177
12,4,crease,0.50,0.40,0.7,9539,0.4879,0.7312,5222
12,4,crease,0.50,0.55,off,9205,0.4963,0.6855,5063
12,4,crease,0.50,0.55,0.9,8594,0.4950,0.6793,4711
12,4,crease,0.50,0.55,0.7,7417,0.4907,0.6614,4077
12,4,crease,0.50,0.65,off,7160,0.4973,0.6341,3967
12,4,crease,0.50,0.65,0.9,6752,0.4961,0.6270,3731
12,4,crease,0.50,0.65,0.7,5941,0.4925,0.6121,3301
12,4,crease,0.50,0.75,off,5114,0.4959,0.5497,2824
12,4,crease,0.50,0.75,0.9,4890,0.4946,0.5451,2697
12,4,crease,0.50,0.75,0.7,4404,0.4924,0.5348,2444
12,4,crease,0.60,0.25,off,12285,0.5135,0.7613,6685
12,4,crease,0.60,0.25,0.9,11271,0.5107,0.7526,6123
12,4,crease,0.60,0.25,0.7,9526,0.5023,0.7355,5178
12,4,crease,0.60,0.40,off,9828,0.5166,0.7031,5373
12,4,crease,0.60,0.40,0.9,9119,0.5140,0.6951,4973
12,4,crease,0.60,0.40,0.7,7869,0.5076,0.6778,4295
12,4,crease,0.60,0.55,off,7371,0.5155,0.6422,4053
12,4,crease,0.60,0.55,0.9,6942,0.5150,0.6361,3806
12,4,crease,0.60,0.55,0.7,6102,0.5110,0.6230,3357
12,4,crease,0.60,0.65,off,5733,0.5128,0.5873,3167
12,4,crease,0.60,0.65,0.9,5451,0.5122,0.5834,3003
12,4,crease,0.60,0.65,0.7,4873,0.5083,0.5716,2697
12,4,crease,0.60,0.75,off,4095,0.5143,0.5050,2261
12,4,crease,0.60,0.75,0.9,3939,0.5139,0.5021,2171
12,4,crease,0.60,0.75,0.7,3603,0.5093,0.4957,1998
12,4,crease,0.70,0.25,off,9835,0.5324,0.7107,5344
12,4,crease,0.70,0.25,0.9,9102,0.5292,0.7015,4930
12,4,crease,0.70,0.25,0.7,7855,0.5198,0.6819,4242
12,4,crease,0.70,0.40,off,7868,0.5330,0.6519,4287
12,4,crease,0.70,0.40,0.9,7367,0.5303,0.6453,4004
12,4,crease,0.70,0.40,0.7,6485,0.5231,0.6267,3523
12,4,crease,0.70,0.55,off,5901,0.5320,0.5904,3224
12,4,crease,0.70,0.55,0.9,5596,0.5308,0.5844,3049
12,4,crease,0.70,0.55,0.7,5008,0.5253,0.5710,2737
12,4,crease,0.70,0.65,off,4590,0.5282,0.5337,2516
12,4,crease,0.70,0.65,0.9,4386,0.5273,0.5294,2396
12,4,crease,0.70,0.65,0.7,3978,0.5225,0.5188,2180
12,4,crease,0.70,0.75,off,3279,0.5289,0.4579,1808
12,4,crease,0.70,0.75,0.9,3162,0.5270,0.4547,1740
12,4,crease,0.70,0.75,0.7,2927,0.5233,0.4478,1623
12,4,crease,0.80,0.25,off,7674,0.5501,0.6408,4154
12,4,crease,0.80,0.25,0.9,7177,0.5485,0.6353,3878
12,4,crease,0.80,0.25,0.7,6290,0.5406,0.6206,3390
12,4,crease,0.80,0.40,off,6140,0.5471,0.5867,3338
12,4,crease,0.80,0.40,0.9,5788,0.5458,0.5822,3137
12,4,crease,0.80,0.40,0.7,5157,0.5404,0.5673,2793
