tag,nsel,prec,rec,nvis
ALL gaussians opa>0.0,56884,0.3393,0.9626,31557
ALL gaussians opa>0.1,56884,0.3393,0.9626,31557
ALL gaussians opa>0.3,31973,0.3908,0.9206,17395
ALL gaussians opa>0.5,20456,0.4461,0.8600,11074
ALL gaussians opa>0.6,16380,0.4809,0.8207,8853
ALL gaussians opa>0.7,13114,0.5135,0.7827,7058
ALL gaussians opa>0.8,10233,0.5405,0.7198,5507
ALL gaussians opa>0.9,7345,0.5780,0.6462,3949
ALL gaussians opa>0.95,5392,0.6094,0.5670,2905
RANDOM 0.75 of opa>0.6,12285,0.4839,0.7792,6655
RANDOM 0.5 of opa>0.6,8190,0.4806,0.6996,4415
opa>0.1 & s_crease>q0.0,56884,0.3393,0.9626,31557
opa>0.1 & s_crease>q0.25,42663,0.4187,0.9478,23870
opa>0.1 & s_crease>q0.5,28442,0.4478,0.8579,16163
opa>0.1 & s_crease>q0.75,14221,0.4475,0.7196,8092
opa>0.1 & s_crease>q0.9,5689,0.4428,0.5376,3252
opa>0.6 & s_crease>q0.0,16380,0.4809,0.8207,8853
opa>0.6 & s_crease>q0.25,12285,0.5188,0.7549,6723
opa>0.6 & s_crease>q0.5,8190,0.5201,0.6520,4546
opa>0.6 & s_crease>q0.75,4095,0.5109,0.4700,2251
opa>0.6 & s_crease>q0.9,1638,0.5077,0.2962,904
scale_max_SMALL top0.50,28442,0.3862,0.7940,17002
scale_max_SMALL top0.30,17065,0.3825,0.6460,10393
scale_max_BIG top0.50,28442,0.2977,0.8650,14554
scale_max_BIG top0.30,17065,0.2677,0.7006,8204
flat_ratio_small(smin/smid) top0.50,28442,0.3061,0.8785,15998
flat_ratio_small(smin/smid) top0.30,17065,0.2725,0.7384,9635
aniso_smid/smax_small top0.50,28442,0.3148,0.9117,15843
aniso_smid/smax_small top0.30,17065,0.2819,0.8119,9486
opacity top0.50,28442,0.4048,0.9069,15471
opacity top0.30,17065,0.4741,0.8275,9233
dense(-knn6dist) top0.50,28442,0.4322,0.7394,17681
dense(-knn6dist) top0.30,17065,0.5120,0.6197,11036
opa>0.6 & smax_small top0.7,11466,0.5352,0.7089,6629
opa>0.6 & smax_small top0.5,8190,0.5707,0.6341,4842
opa>0.6 & dense top0.7,11466,0.5422,0.6995,6845
opa>0.6 & dense top0.5,8190,0.5927,0.5979,5164
opa>0.7 & smax_small top0.7,9180,0.5736,0.6741,5307
opa>0.7 & smax_small top0.5,6557,0.6155,0.5964,3872
opa>0.7 & dense top0.7,9180,0.5759,0.6634,5480
opa>0.7 & dense top0.5,6557,0.6223,0.5541,4154
